sha256,Malware Name,OS,Category
8ba0d4d313a7c67b7f9113bc7b26647b251fcea6a9efee3f05dcb88f249efd15,Agenttesla,Windows,Infostealer
ba38c374f40119a4acbdab2bc171043b87bae2d299b2628f2a02da87e851c97f,Agenttesla,Windows,Infostealer
276f9055909174b4cf05748f028a3f0cf9c33bc371200b1d0e9c366a1b92e003,Agenttesla,Windows,Infostealer
45265b540e95d629976bf7e09c58897539ec2c0c46ca5c9c986a5ab17da99b96,Agenttesla,Windows,Infostealer
fcb012805679bb99ffeb9f535f06e1c5940b53d773f527e3a9aef5371540a199,Agenttesla,Windows,Infostealer
fc1ef39decb8a6c7b9ba61c4a4be9048d9e7ac29619e6704d7549f1524a3b6a3,Agenttesla,Windows,Infostealer
c685ab98e1910af3a51286a6d68d706e2a7be5298f74c061f98b9e87e290d357,Agenttesla,Windows,Infostealer
5eecdaf0426291c6db36cc79cba590e61248a5364197d82228da2074a7fa3bba,Agenttesla,Windows,Infostealer
b0dcb9ceb001f6ea05b3163e56783cfe2028357129eb7db516d28e88acd9845b,Agenttesla,Windows,Infostealer
781880fa9f1197427d5a1ba2c3931da4be0612ad0b83bfce4d38725f97c436b5,Agenttesla,Windows,Infostealer
8ef4d6591309fbe5f7998a82ea2db9db9c502293abf51fe37e37d860b2977d7c,Agenttesla,Windows,Infostealer
edc95b55201af0019567991377c9ed0e281a948edb2f316cbc80195d5bfa669b,Agenttesla,Windows,Infostealer
502e4ba0751c2051b1be12064c0bb0698b504d1c9d68174de1dc9b234e096cc6,Agenttesla,Windows,Infostealer
9f90e58343e50ae5c91cf92c7d83482dc0fd227d8c22c60feb2998e32977c23a,Agenttesla,Windows,Infostealer
4f57445ce960af0f5b9bc7386e6935226955a1221637225bc1d6533d6bd2b88c,Agenttesla,Windows,Infostealer
817f1019ac6cd336a412e304016e6538fd8c3894121bd61340639b240f07c451,Agenttesla,Windows,Infostealer
cd3c4e2367d2980a9809fca28a819e6d67bbb8f03a11bd3c5de0f3ce269d7c56,Agenttesla,Windows,Infostealer
6f62d88a4a3f98c4cbcc3f1a3065cd5fa6691149d2bc1354d2300491badabaa3,Agenttesla,Windows,Infostealer
4cd5de1b258cc0759ac0e866cc65ce615cdd8de99fc35d12d69983aa2c54519f,Agenttesla,Windows,Infostealer
0aa9199bb7fbf267b0e96f69ae8abb6e3c6ee5d9f8c2f61d4b56104063888b26,Agenttesla,Windows,Infostealer
bbf3b7facc03ac358b1c43e2b1f5c35082958310a15d924415e5afd133d1ac0d,Agenttesla,Windows,Infostealer
dfb6c6d13b4ae972386abfa5544ccfb5374d6bf89889043b8d138117748934bf,Agenttesla,Windows,Infostealer
61aafd66296c729a040234cb1424f78bd852c3b5e59bd5df3066ca135f2d970c,Agenttesla,Windows,Infostealer
fbaf8a59ed3c6d18566b7e254f772870841bfd26224c5e851b7361eb892a4f35,Agenttesla,Windows,Infostealer
bbf5f331a06a6d9a091a3348796acae9565360c129715b658a5c41109b2842e0,Agenttesla,Windows,Infostealer
216c0539ccfc639a2638c1d86d5af4accd3dd621c1372c1277432349f2977eca,Agenttesla,Windows,Infostealer
3979eb243225878a1331722d77eeb7d5937691a9e81322bfe24f5ae23aa855f6,Agenttesla,Windows,Infostealer
b5e9a3a112c889e9afaa48926ed0bf9474fb430cc99dff8915192877f58d5efe,Agenttesla,Windows,Infostealer
d96bb6b110631c3a06afe836cb4f78d158c276ff0e1eea23a5cac39fec0e0e43,Agenttesla,Windows,Infostealer
26519d3b87b0bce9cacd121c6837fdf4e91500b52c14735068bb495f04fe1852,Agenttesla,Windows,Infostealer
1115e56ad66e65c4934967fc18da11d5caceb4e96cc9567366764c93d47beeb7,Agenttesla,Windows,Infostealer
962439d7e488f53893e26592a324b2201371bbfb5b264a44e72d9ac6277f6f82,Agenttesla,Windows,Infostealer
2b48bf8b6d8366e4f7e6e03e5f799a8a115e06a3321fdab8f2e45cd6dee42d48,Agenttesla,Windows,Infostealer
9524dbdb7a13bdd04e736f32c96690df3320fabc8587bd0880db9ff0fd497c8e,Agenttesla,Windows,Infostealer
60771c2c39b8d81db81e781a1f497f1a402f9f95843471f6bf1aaf8d5f1771d9,Agenttesla,Windows,Infostealer
d094541214cfd198a1fdc69f068681427c9143ce04a25aeb2a64a807195bcb4a,Agenttesla,Windows,Infostealer
504f5f1a3d00d7be92e8b4c8149e35ce2313f1aad4cd13a16c4db7c46d6efb01,Agenttesla,Windows,Infostealer
f6551f6c9a036c132e4faaa300361b024c79f2e0562ace17a042dc0793f1ee31,Agenttesla,Windows,Infostealer
514266ecbe03893240e9d85f2d3ffdecc2ab09f1ac35cc312ee4112e02d24fe3,Agenttesla,Windows,Infostealer
e5ad7596e5fc883fa78c1644afe8337bc65c1ce3bded087a2cf923b99af40e76,Agenttesla,Windows,Infostealer
dfe0e6b11dab62c713e379c0455b008c50e539eb175b3e60871ecbf8fe81b169,Agenttesla,Windows,Infostealer
836259b5e47a4d9f6fdd2955e69645b8aa70bca6d139b0eb99038641db38dbe6,Agenttesla,Windows,Infostealer
8b3aa60f494833274c18171586730f2f4650a0c8c2de4cd901d853948b6f1fce,Agenttesla,Windows,Infostealer
6285e9a17ae28777eb667ece743fe48a622f74f7d4c905399d6b93ef87427e0a,Agenttesla,Windows,Infostealer
47ee3997168e1d2f64c940453432642e7f7cea124561a40904d7d8d3b58d2b75,Agenttesla,Windows,Infostealer
5e2ea28a749eebcda988dd2395c0e205e9f4b2f2edfc14700f317ca62bb91a90,Agenttesla,Windows,Infostealer
891408262a391aa3518471825e5bfe85b4fab8ec5385fc7082e5ad50ee67a8f8,Agenttesla,Windows,Infostealer
2fb680ad3d71082b098f86c2e0951771327e41f3f91f8e985fd5af4a3e19afb5,Agenttesla,Windows,Infostealer
93b75e7f99768d86cb26282a3164d806d36a2c890fb7d367f0cf389a75d304d4,Agenttesla,Windows,Infostealer
55803a4227e0110d88300cd0ea5c98d479738a2a33be1d07702301eb1fc37527,Agenttesla,Windows,Infostealer
05df6f3430171cb7db9fa5f6782b8f67b14079b6e1dffbb013c33ca91b1ad5d3,Agenttesla,Windows,Infostealer
47c8f1af1f9f8e3a0ad8f359cb14ea08b3261efde59260d8ec5b92d4dfd90587,Agenttesla,Windows,Infostealer
d773db3acad368a5e51b2ea6f4cd5feb904c3255d3ef79cfcd07935a46400e38,Agenttesla,Windows,Infostealer
d08c33466a8c7a6c504e1ba509278bfebf111102d5a3bfd9b56b27b3530ffc2d,Agenttesla,Windows,Infostealer
8d2d64d1725161c2aa28dddb6ccb302291badc5a9a96816d0027e5aece23ec4a,Agenttesla,Windows,Infostealer
a9f8962e8fe80bbe7b1462f0c4d776abeb968a6c8f33fca3074a54b45d09ad9a,Agenttesla,Windows,Infostealer
bf510c798632c88e648a0835dabebf4008a271ca94413ac2daaa87a963d4fd73,Agenttesla,Windows,Infostealer
63b303a4e01924ae9ca9fcfc7f75cf87144598342415df3cdd802440d770add1,Agenttesla,Windows,Infostealer
114a4bd115730002762c4cc9bbbc5ed53e5e036253b87fdf4bcef7647d9e8870,Agenttesla,Windows,Infostealer
988cecb39c8ff652b9f6f677c11c53279ffb166608acf3cbd4aa7cafc6019800,Agenttesla,Windows,Infostealer
14ce526032b5ba32eee02d91119ed9fe15b9590b18a359d04627e1e97d7a6e86,Agenttesla,Windows,Infostealer
8d48681090810cf096230ac8e6900c4cdb22d9872622ba55f9d70c1c1ca32956,Agenttesla,Windows,Infostealer
09d3784d1f2f53fa0f4f30ea6a707acf92def296e10b25d3a42625db5823bfaa,Agenttesla,Windows,Infostealer
c2901aebb7af70fd74d9812932c5c7028711828696b3aa0f563cb6dfc82d22b9,Agenttesla,Windows,Infostealer
5302c416b0abd845fe3145f910e82440588c11219940fe89fd68722260a9b508,Agenttesla,Windows,Infostealer
21a48dddb72c624a2987ce341ab3c2a8ddf4055ee6f0fc3b2fa2da34bea73b08,Agenttesla,Windows,Infostealer
616441c74c95a52ec38217d221e79cee12ec87dc0e7276059b5be1274382dd5a,Agenttesla,Windows,Infostealer
d72a38a470f42bd7900c62d2858f2986ddc90267b182e2149a847a3096b03465,Agenttesla,Windows,Infostealer
e0e366834de34a6e93035842b46662c2b1b05d350c1218953f8faab632ead3ae,Agenttesla,Windows,Infostealer
1875ff6ba9beda4d257cdd4ef68d2e51ceb10acf2d15493d7362a29cc743c545,Agenttesla,Windows,Infostealer
9503de606f8f0e2a753d31eb10e1f92ad6b8a8c7bf51c6547760057d6077669c,Agenttesla,Windows,Infostealer
7a76e6536ba34a728e8b04a6cb20fae3b252edc0de2e7ffa1e95508194ccecb3,Agenttesla,Windows,Infostealer
239bbdddbf48ec1e375741bb0ab39dd8b251eb2ce2cf578dbf128ad3129b748f,Agenttesla,Windows,Infostealer
ab8187e1651648d7f5d1906536e0dc09680dbc18cb311ef5686fe2049659da36,Agenttesla,Windows,Infostealer
974ffbcc0cdba0f379766b343276d721e4093135923c8fa0068d129c0685a69b,Agenttesla,Windows,Infostealer
